date,duration
3/26/14,1781434
3/27/14,1260241
3/28/14,1840303
3/29/14,1808810
3/30/14,6419826
3/31/14,5317939
4/1/14,3194061
4/2/14,2850904
4/3/14,1090787
4/4/14,1997294
4/5/14,5009909
4/6/14,5931440
4/7/14,3212368
4/8/14,4158778
4/9/14,6269294
4/10/14,5272895
4/11/14,10254332
4/12/14,16094885
4/13/14,3723476
4/14/14,1213372
4/15/14,1805812
4/16/14,3477907
4/17/14,6328369
4/18/14,5189784
4/19/14,10347228
4/20/14,15287524
4/21/14,6013896
4/22/14,5268692
4/23/14,4139249
4/24/14,4844071
4/25/14,10114219
4/26/14,7038029
4/27/14,3859709
4/28/14,1847594
4/29/14,3944430
4/30/14,3724553
5/1/14,2156795
5/2/14,4677577
5/3/14,13023248
5/4/14,5683686
5/5/14,4580930
5/6/14,5904524
5/7/14,7177589
5/8/14,10430189
5/9/14,7600975
5/10/14,18131142
5/11/14,12329923
5/12/14,8284843
5/13/14,5237827
5/14/14,5374436
5/15/14,3226737
5/16/14,2711303
5/17/14,8887601
5/18/14,15451566
5/19/14,9966513
5/20/14,11465426
5/21/14,11652884
5/22/14,9820827
5/23/14,11090928
5/24/14,18588703
5/25/14,28325187
5/26/14,20326052
5/27/14,8453180
5/28/14,7501198
5/29/14,9788343
5/30/14,13174871
5/31/14,21777868
6/1/14,19075242
6/2/14,9806367
6/3/14,13603295
6/4/14,5516488
6/5/14,12006335
6/6/14,15447518
6/7/14,21254802
6/8/14,13535075
6/9/14,11193895
6/10/14,3743515
6/11/14,6516144
6/12/14,10472564
6/13/14,14000510
6/14/14,22565095
6/15/14,13632489
6/16/14,14033141
6/17/14,11401438
6/18/14,7115375
6/19/14,9786395
6/20/14,12751345
6/21/14,16408038
6/22/14,17324358
6/23/14,9353305
6/24/14,10205741
6/25/14,10724294
6/26/14,11699066
6/27/14,16876941
6/28/14,19947865
6/29/14,21063132
6/30/14,9246830
7/1/14,13138994
7/2/14,8371844
7/3/14,13818058
7/4/14,24254697
7/5/14,20963149
7/6/14,17393047
7/7/14,13288904
7/8/14,11758545
7/9/14,13370518
7/10/14,15075675
7/11/14,13607896
7/12/14,9591690
7/13/14,18360781
7/14/14,11450380
7/15/14,10993603
7/16/14,13005795
7/17/14,13546008
7/18/14,16371757
7/19/14,24998452
7/20/14,20135133
7/21/14,14185335
7/22/14,12223296
7/23/14,12286139
7/24/14,14319164
7/25/14,13700596
7/26/14,20643842
7/27/14,18933841
7/28/14,12228233
7/29/14,12032843
7/30/14,13147724
7/31/14,15065274
8/1/14,14034605
8/2/14,24300154
8/3/14,14362266
8/4/14,11590555
8/5/14,12549835
8/6/14,13649371
8/7/14,14057810
8/8/14,15185500
8/9/14,22671889
8/10/14,19246243
8/11/14,11298380
8/12/14,8095144
8/13/14,13416219
8/14/14,13529684
8/15/14,15752613
8/16/14,19679803
8/17/14,13784784
8/18/14,13582498
8/19/14,9183965
8/20/14,13571685
8/21/14,5268941
8/22/14,11643364
8/23/14,12423798
8/24/14,17973284
8/25/14,8930963
8/26/14,10221854
8/27/14,11073963
8/28/14,11348257
8/29/14,11760036
8/30/14,15990531
8/31/14,23791281
9/1/14,14514244
9/2/14,10534061
9/3/14,10873678
9/4/14,8281502
9/5/14,7766654
9/6/14,17913716
9/7/14,16028116
9/8/14,11033924
9/9/14,9853091
9/10/14,4852840
9/11/14,6703728
9/12/14,4060504
9/13/14,10339209
9/14/14,11852133
9/15/14,6882242
9/16/14,8837615
9/17/14,9192349
9/18/14,9000557
9/19/14,11065632
9/20/14,10310685
9/21/14,9116110
9/22/14,8703738
9/23/14,9396672
9/24/14,8934920
9/25/14,8989655
9/26/14,11280470
9/27/14,16263049
9/28/14,13337779
9/29/14,9362198
9/30/14,5869747
10/1/14,8039281
10/2/14,6354829
10/3/14,4439743
10/4/14,2149114
10/5/14,5701886
10/6/14,6546729
10/7/14,7694818
10/8/14,7535997
10/9/14,7044349
10/10/14,7604458
10/11/14,11405136
10/12/14,11571819
10/13/14,4770039
10/14/14,1898117
10/15/14,4194860
10/16/14,5673602
10/17/14,7422664
10/18/14,3984234
10/19/14,7394637
10/20/14,6936502
10/21/14,5242448
10/22/14,5862124
10/23/14,5706862
10/24/14,8786906
10/25/14,13928786
10/26/14,9679394
10/27/14,8894667
10/28/14,6234459
10/29/14,4993259
10/30/14,5071594
10/31/14,2555151
11/1/14,3525859
11/2/14,4212807
11/3/14,5773059
11/4/14,4663427
11/5/14,5567664
11/6/14,3817634
11/7/14,4392283
11/8/14,3875225
11/9/14,3218153
11/10/14,5464933
11/11/14,3050221
11/12/14,2750800
11/13/14,2420703
11/14/14,2572913
11/15/14,1836532
11/16/14,1192245
11/17/14,2020995
11/18/14,1703338
11/19/14,2191878
11/20/14,1967976
11/21/14,2237889
11/22/14,1934794
11/23/14,1174537
11/24/14,1135085
11/25/14,1815007
11/26/14,1585372
11/27/14,546404
11/28/14,816353
11/29/14,2883345
11/30/14,1765165
12/1/14,1820597
12/2/14,2207496
12/3/14,2652637
12/4/14,2631128
12/5/14,2711556
12/6/14,1743996
12/7/14,1190788
12/8/14,1363208
12/9/14,2077237
12/10/14,2200043
12/11/14,2502317
12/12/14,2440834
12/13/14,2186995
12/14/14,2824684
12/15/14,2400086
12/16/14,2377201
12/17/14,2145507
12/18/14,2133209
12/19/14,2359933
12/20/14,1244692
12/21/14,1405338
12/22/14,1273749
12/23/14,2577243
12/24/14,850155
12/25/14,987505
12/26/14,2659580
12/27/14,1039059
12/28/14,1168609
12/29/14,1645682
12/30/14,1352346
12/31/14,761921
1/1/15,667199
1/2/15,1707720
1/3/15,418977
1/4/15,359356
1/5/15,699860
1/6/15,611954
1/7/15,482840
1/8/15,393039
1/9/15,510968
1/10/15,395624
1/11/15,481660
1/12/15,823214
1/13/15,992383
1/14/15,1017816
1/15/15,1518335
1/16/15,1773071
1/17/15,1504206
1/18/15,1402010
1/19/15,1665159
1/20/15,2035343
1/21/15,2242594
1/22/15,2113055
1/23/15,2178749
1/24/15,2319271
1/25/15,500138
1/26/15,1703862
1/27/15,1842416
1/28/15,2170985
1/29/15,1880356
1/30/15,2006985
1/31/15,1461553
2/1/15,98445
2/2/15,1056151
2/3/15,917688
2/4/15,1017866
2/5/15,1256829
2/6/15,1048676
2/7/15,1432384
2/8/15,710673
2/9/15,1201631
2/10/15,1580975
2/11/15,1813229
2/12/15,1183264
2/13/15,1344179
2/14/15,422993
2/15/15,144524
2/16/15,699029
2/17/15,1105671
2/18/15,959511
2/19/15,491789
2/20/15,745957
2/21/15,733759
2/22/15,434362
2/23/15,829118
2/24/15,1070913
2/25/15,992092
2/26/15,707512
2/27/15,812239
2/28/15,541138
3/1/15,484903
3/2/15,1727126
3/3/15,941003
3/4/15,1294394
3/5/15,1145397
3/6/15,1304343
3/7/15,2595714
3/8/15,1713252
3/9/15,3373309
3/10/15,4057439
3/11/15,3751283
3/12/15,4259452
3/13/15,6784869
3/14/15,7239375
3/15/15,8331012
3/16/15,8723843
3/17/15,3217970
3/18/15,3715489
3/19/15,3174858
3/20/15,4009046
3/21/15,3663703
3/22/15,1340094
3/23/15,717676
3/24/15,1300084
3/25/15,2053747
3/26/15,2468964
3/27/15,1357540
3/28/15,1659496
3/29/15,798569
3/30/15,3369634
3/31/15,3127671
4/1/15,6050414
4/2/15,3776659
4/3/15,3111786
4/4/15,5918297
4/5/15,6816780
4/6/15,3516683
4/7/15,2006437
4/8/15,2303121
4/9/15,1994378
4/10/15,4462921
4/11/15,12027474
4/12/15,9991511
4/13/15,6392011
4/14/15,7222226
4/15/15,7376099
4/16/15,5161330
4/17/15,11363915
4/18/15,10372031
4/19/15,4858642
4/20/15,3199878
4/21/15,4113293
4/22/15,3299664
4/23/15,4902447
4/24/15,4919085
4/25/15,1611294
4/26/15,6494583
4/27/15,6046008
4/28/15,6257787
4/29/15,6450844
4/30/15,5159443
5/1/15,8470968
5/2/15,18991936
5/3/15,14251965
5/4/15,7872277
5/5/15,3748061
5/6/15,8077887
5/7/15,13317218
5/8/15,8888681
5/9/15,5885139
5/10/15,2944903
5/11/15,6126140
5/12/15,6785993
5/13/15,7059192
5/14/15,7477964
5/15/15,12794124
5/16/15,19330509
5/17/15,16918837
5/18/15,15763588
5/19/15,7150775
5/20/15,4782369
5/21/15,11616262
5/22/15,12204639
5/23/15,26680054
5/24/15,14494420
5/25/15,18641325
5/26/15,8741162
5/27/15,13823172
5/28/15,16989015
5/29/15,13313332
5/30/15,2759748
5/31/15,3984881
6/1/15,8910061
6/2/15,12854471
6/3/15,14730777
